Date,Open,High,Low,Close,Adj Close,Volume
2013-09-19,18013.150390625,18378.30078125,18013.150390625,18316.400390625,18316.400390625,20236000
2013-09-20,18274.150390625,18319.80078125,17899.44921875,18149.69921875,18149.69921875,16703000
2013-09-23,17966.69921875,18253.650390625,17771.150390625,17907.94921875,17907.94921875,11949000
2013-09-24,17803.599609375,18103.80078125,17803.599609375,17905.94921875,17905.94921875,15439000
2013-09-25,17928.900390625,17951.349609375,17494.650390625,17726.099609375,17726.099609375,14028000
2013-09-26,17695.25,17870.80078125,17600.0,17833.80078125,17833.80078125,16849000
2013-09-27,17898.150390625,18008.75,17733.80078125,17872.80078125,17872.80078125,16214000
2013-09-30,17788.900390625,17834.25,17564.599609375,17637.400390625,17637.400390625,12670000
2013-10-01,17656.55078125,17691.75,17449.05078125,17667.099609375,17667.099609375,11926000
2013-10-03,17790.75,17790.75,17474.25,17533.69921875,17533.69921875,19743000
2013-10-04,17544.150390625,17660.5,17410.849609375,17572.75,17572.75,13665000
2013-10-07,17549.0,17636.55078125,17338.19921875,17602.650390625,17602.650390625,14682000
2013-10-08,17685.650390625,17850.349609375,17625.599609375,17793.75,17793.75,13238000
2013-10-09,17763.5,17908.25,17671.0,17839.150390625,17839.150390625,14564000
2013-10-10,17804.5,17973.80078125,17776.55078125,17833.599609375,17833.599609375,11964000
2013-10-11,17897.69921875,17952.44921875,17606.650390625,17673.94921875,17673.94921875,10609000
2013-10-14,17723.849609375,17723.849609375,17529.099609375,17558.5,17558.5,7451000
2013-10-15,17549.44921875,17648.30078125,17293.349609375,17545.69921875,17545.69921875,10685000
2013-10-17,17582.599609375,17806.650390625,17566.099609375,17722.44921875,17722.44921875,12736000
2013-10-18,17828.30078125,18139.30078125,17785.650390625,18091.400390625,18091.400390625,14829000
2013-10-21,18099.599609375,18108.150390625,17767.5,17839.5,17839.5,13591000
2013-10-22,17749.25,17880.44921875,17738.80078125,17795.0,17795.0,12185000
2013-10-23,17819.400390625,17886.44921875,17620.599609375,17842.80078125,17842.80078125,19464000
2013-10-24,17881.349609375,18109.150390625,17814.900390625,17889.400390625,17889.400390625,11675000
2013-10-25,17942.650390625,17998.19921875,17593.44921875,17723.94921875,17723.94921875,18135000
2013-10-28,17695.19921875,17705.0,17219.150390625,17268.900390625,17268.900390625,23555800
2013-10-29,17244.80078125,17485.349609375,17120.5,17363.94921875,17363.94921875,20063000
2013-10-30,17435.150390625,17583.0,17321.05078125,17568.19921875,17568.19921875,18421000
2013-10-31,17498.5,17663.94921875,17456.099609375,17617.0,17617.0,22156000
2013-11-01,17529.599609375,17618.69921875,17353.19921875,17385.80078125,17385.80078125,17774000
